"Показник","Територіальний розріз","Категорія Розрізу","Розріз","Географічна ознака","Вид економічної діяльності","Кількість зайнятих працівників","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Кількість придбаних нових технологій промисловими підприємствами","Миколаївська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Луганська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Полтавська","За формами передання","Права на об'єкти права інтелектуальної власності","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Хмельницька","За формами передання","Результати досліджень та розробок","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Луганська","Усього","Усього","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Черкаська","За формами передання","Права на об'єкти права інтелектуальної власності","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Черкаська","Усього","Усього","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Сумська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Харківська","За формами передання","Результати досліджень та розробок","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Харківська","За формами передання","Права на об'єкти права інтелектуальної власності","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","","4"
"Кількість придбаних нових технологій промисловими підприємствами","Полтавська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Хмельницька","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Черкаська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Хмельницька","За формами передання","Ноу-хау, угоди на передачу технологій","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Черкаська","За формами передання","Результати досліджень та розробок","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Тернопільська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Львівська","За формами передання","Права на об'єкти права інтелектуальної власності","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","9","","8","","8"
"Кількість придбаних нових технологій промисловими підприємствами","Тернопільська","За формами передання","Результати досліджень та розробок","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Херсонська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Луганська","За формами передання","Права на об'єкти права інтелектуальної власності","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Черкаська","За формами передання","Ноу-хау, угоди на передачу технологій","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Львівська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Херсонська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Луганська","За формами передання","Результати досліджень та розробок","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Херсонська","За формами передання","Права на об'єкти права інтелектуальної власності","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Тернопільська","За формами передання","Права на об'єкти права інтелектуальної власності","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Львівська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Рівненська","За формами передання","Ліцензії на використання винаходів, промислових зразків, корисних моделей","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Херсонська","За формами передання","Результати досліджень та розробок","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Рівненська","Усього","Усього","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","5","",""
"Кількість придбаних нових технологій промисловими підприємствами","Миколаївська","За формами передання","Права на об'єкти права інтелектуальної власності","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Сумська","За формами передання","Права на об'єкти права інтелектуальної власності","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Хмельницька","За формами передання","Права на об'єкти права інтелектуальної власності","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Львівська","Усього","Усього","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","10","","5","",""
"Кількість придбаних нових технологій промисловими підприємствами","Кіровоградська","Усього","Усього","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Конфіденційна статистична інформація","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Полтавська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Рівненська","За формами передання","Ноу-хау, угоди на передачу технологій","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість придбаних нових технологій промисловими підприємствами","Одеська","За формами передання","Ноу-хау, угоди на передачу технологій","За межами України","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
